index,iterations,time,psnr,ssim
0,50,282.7344934940338,17.480736957685238,0.44821003546471316
1,100,549.9013376235962,20.03376412792546,0.5230088589659196
2,200,1096.6852929592133,26.133368286903583,0.6335715421492419
3,500,2735.807805776596,26.682850984855886,0.7571416896805578
4,500,2727.5550541877747,27.00980993370268,0.7606423588814217
5,1000,5437.143541097641,26.76654574477712,0.7898743566289969
6,2000,10927.871274471283,26.615552205324732,0.7573529954299665
7,4000,21885.62901353836,24.627965627048628,0.6887171193987482
8,8000,43750.20207738876,24.35787241678213,0.6594231972854963
9,10000,55253.12351822853,24.334547443885914,0.6839160004664219
